  ,-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
  | id            | tipo           | clas             | read_only | ctx | nome / simbolos                                                                                         |
  | lsupu         | float          | SCD_ClasSac      |           |     | Limite superior de urgencia                                                                             |
  | lsupuo        | float          | SCD_ClasSac      |           |     | Limite superior de urgencia original                                                                    |
  | mxper         | float          | SCD_ClasSac      |           |     | Maximo no periodo                                                                                       |
  | n_e2m         | unsigned short | SSC_ClasAlr      | sim       |     | Numero de macro alarmes do ponto                                                                        |
  | nome          | string[63]     | SCD_ClasIds      |           |     | Nome                                                                                                    |
  | obsrv         | string[96]     | SCD_ClasDcp      |           |     | Observacoes sobre o ponto analogico                                                                     |
  | origem        | char           | STI_ClasCadastro | sim       |     | Origem da criacao das medidas analogicas                                                                |
  |               |                |                  |           |     |               1 - K_GRANDANA_MONRES                                                                     |
  |               |                |                  |           |     |               2 - K_GRANDANA_SCADA                                                                      |
  |               |                |                  |           |     |               3 - K_GRANDANA_RCALC                                                                      |
  |               |                |                  |           |     |               4 - K_GRANDANA_PDO                                                                        |
  |               |                |                  |           |     |               5 - K_GRANDANA_EE                                                                         |
  | p_pad         | unsigned int   | SCD_ClasSac      | sim       |     | Apontador para a primeira ocorrencia do PAS em PAD                                                      |
  | p_rpa         | unsigned int   | SCD_ClasSac      |           |     | Apontador para relacionamento fisico                                                                    |
  | pedexc        | char           | SAR_ClasEstmon   |           |     | Pedido do usuario para excluir/incluir a medida do processo de estimacao                                |
  |               |                |                  |           |     |               0 - K_PAS_PED_NPED                                                                        |
  |               |                |                  |           |     |               1 - K_PAS_PED_EXC_USU                                                                     |
  |               |                |                  |           |     |               4 - K_PAS_PED_INC_USU                                                                     |
  |               |                |                  |           |     |               5 - K_PAS_PED_EXC_EE                                                                      |
  | pedsubs       | char           | SAR_ClasEstmon   |           |     | Pedido do usuario para substituir/restabelecer a medida no SCADA                                        |
  |               |                |                  |           |     |               0 - K_PAS_PED_NPED                                                                        |
  |               |                |                  |           |     |               2 - K_PAS_PED_SUB_MED                                                                     |
  |               |                |                  |           |     |               3 - K_PAS_PED_REST_MED                                                                    |
  |               |                |                  |           |     |               6 - K_PAS_PED_SUB_AUTO                                                                    |
  | prio          | char           | SCD_ClasSac      |           |     | Ponto com processamento SCADA prioritario                                                               |
  | prioalr       | unsigned short | SSC_ClasAlr      |           |     | Ordem de prioridade para o Alarme.                                                                      |
  | redund        | char           | SAR_ClasEstmon   |           |     | Redundancia associada a medida analogica                                                                |
  | resbias       | float          | SAR_ClasEstmon   |           |     | Bias do Residuo                                                                                         |
  | residuo       | float          | SAR_ClasEstmon   |           |     | Residuo da medida analogica                                                                             |
  | resnorm       | float          | SAR_ClasEstmon   |           |     | Residuo normalizado                                                                                     |
  | respond       | float          | SAR_ClasEstmon   |           |     | Residuo ponderado da medida analogica                                                                   |
  | rgalr         | unsigned char  | SCD_ClasSac      |           |     | Regiao corrente                                                                                         |
  |               |                |                  |           |     |               0 - K_REG_NLRG                                                                            |
  |               |                |                  |           |     |               1 - K_REG_IESC                                                                            |
  |               |                |                  |           |     |               2 - K_REG_IURG                                                                            |
  |               |                |                  |           |     |               3 - K_REG_IADV                                                                            |
  |               |                |                  |           |     |               4 - K_REG_NORM                                                                            |
  |               |                |                  |           |     |               5 - K_REG_SADV                                                                            |
  |               |                |                  |           |     |               6 - K_REG_SURG                                                                            |
  |               |                |                  |           |     |               7 - K_REG_SESC                                                                            |
  | rgalr_fp      | unsigned char  | SAR_ClasFluxop   |           |     | Regiao corrente de alarme para valor calculado pelo SAR_fluxop                                          |
  |               |                |                  |           |     |               0 - K_REG_NLRG                                                                            |
  |               |                |                  |           |     |               1 - K_REG_IESC                                                                            |
  |               |                |                  |           |     |               2 - K_REG_IURG                                                                            |
  |               |                |                  |           |     |               3 - K_REG_IADV                                                                            |
  |               |                |                  |           |     |               4 - K_REG_NORM                                                                            |
  |               |                |                  |           |     |               5 - K_REG_SADV                                                                            |
  |               |                |                  |           |     |               6 - K_REG_SURG                                                                            |
  |               |                |                  |           |     |               7 - K_REG_SESC                                                                            |
  | rgalrctg      | unsigned char  | SAR_ClasAnacon   |           | sim | Regiao corrente de alarme para valor do anacon                                                          |
  |               |                |                  |           |     |               0 - K_REG_NLRG                                                                            |
